inventory_num	inventory_label	series_name	series_uuid	inventory_uuid	num_scans	num_pages	year_start	year_end	period_start	period_end	content_type	resolution_type	page_num_interventions	inventory_index	inventory_doc_type	created	updated	index_timestamp
62	62 1637 minuut	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	179bf5be-e173-41d4-9f32-44b332302b23	602	1203	1637	1637	1637-01-01	1637-12-31	resolutions	ordinaris		republic_inventory	inventory			
400	400 1671 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	7ed71ffd-5eb3-45ba-b3e5-4d154b7266b3	316	631	1671	1671	1671-01-01	1671-12-31	resolutions	ordinaris		republic_inventory	inventory			
401	401 1671 gedrukt suppl.	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	6e08a126-8679-4d4a-9438-f9dea7d33ebb	743	1485	1671	1671	1671-01-01	1671-12-31	resolutions	ordinaris		republic_inventory	inventory			
402	402 1672 - 1673 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	fe27d0e0-c65e-4c01-93f0-4848d1958e45	533	1065	1672	1672	1672-01-01	1673-12-31	resolutions	ordinaris		republic_inventory	inventory			
407	407 1674 - 1675 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	2b51613c-8ac4-4a00-9f6f-4b3040cb9395	421	841	1674	1674	1674-01-01	1675-12-31	resolutions	ordinaris		republic_inventory	inventory			
412	412 1676 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	9496e786-8bfb-4357-9435-5aea050cd229	279	557	1676	1676	1676-01-01	1676-12-31	resolutions	ordinaris		republic_inventory	inventory			
415	415 1677 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	b08cc746-f99f-45d7-91f9-30247b146c1d	266	531	1677	1677	1677-01-01	1677-12-31	resolutions	ordinaris		republic_inventory	inventory			
418	418 1678 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	2dcac9a5-c165-4b53-961e-276f413520a9	244	487	1678	1678	1678-01-01	1678-12-31	resolutions	ordinaris		republic_inventory	inventory			
421	421 1679 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	2f36b7c1-a842-4d1b-be65-ca7ceb1ddd29	234	467	1679	1679	1679-01-01	1679-12-31	resolutions	ordinaris		republic_inventory	inventory			
423	423 1680 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	b9200ba9-e112-46e9-9ade-c83b811cfa16	188	375	1680	1680	1680-01-01	1680-12-31	resolutions	ordinaris		republic_inventory	inventory			
425	425 1681 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	1a652386-0fed-4ce4-b8a0-764663c293dd	223	445	1681	1681	1681-01-01	1681-12-31	resolutions	ordinaris		republic_inventory	inventory			
428	428 1682 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	93db4f7a-0176-4226-b496-e8ec7079b1db	229	457	1682	1682	1682-01-01	1682-12-31	resolutions	ordinaris		republic_inventory	inventory			
429	429 1682 gedrukt 1e supp.	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	1ed10ad9-1c16-4458-ae81-d381da1beeb2	364	727	1682	1682	1682-01-01	1682-12-31	resolutions	ordinaris		republic_inventory	inventory			
430	430 1682 gedrukt 2e supp.	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	4f89e39f-2017-4a99-80b4-bb04a3454dcd	232	463	1682	1682	1682-01-01	1682-12-31	resolutions	ordinaris		republic_inventory	inventory			
431	431 1683 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	30982512-eed6-4a10-8c67-3cd723558a87	246	491	1683	1683	1683-01-01	1683-12-31	resolutions	ordinaris		republic_inventory	inventory			
432	432 1683 gedrukt 1e supp.	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	d87f8df5-d4d5-43dc-943b-2494118670cc	404	807	1683	1683	1683-01-01	1683-12-31	resolutions	ordinaris		republic_inventory	inventory			
433	433 1683 gedrukt 2e supp.	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	5726b31f-1da6-4afb-9f21-550fba451939	241	481	1683	1683	1683-01-01	1683-12-31	resolutions	ordinaris		republic_inventory	inventory			
434	434 1684 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	7797b750-a008-418f-a77e-3bd7e9aedab8	263	525	1684	1684	1684-01-01	1684-12-31	resolutions	ordinaris		republic_inventory	inventory			
435	435 1685 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	d660682b-1345-4ac1-af7b-9620524c19ae	261	521	1685	1685	1685-01-01	1685-12-31	resolutions	ordinaris		republic_inventory	inventory			
436	436 1685 gedrukt 1e supp.	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	44e1a320-461e-445a-8c8e-9c609fa175e9	378	755	1685	1685	1685-01-01	1685-12-31	resolutions	ordinaris		republic_inventory	inventory			
437	437 1685 gedrukt 2e supp.	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	77f9192d-231e-42cc-b098-89479d363d63	321	641	1685	1685	1685-01-01	1685-12-31	resolutions	ordinaris		republic_inventory	inventory			
438	438 1686 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	da223913-5611-49f6-9e24-264b0481485d	286	571	1686	1686	1686-01-01	1686-12-31	resolutions	ordinaris		republic_inventory	inventory			
439	439 1687 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	1b80b84e-bc0c-4963-a0c8-54f536e96545	300	599	1687	1687	1687-01-01	1687-12-31	resolutions	ordinaris		republic_inventory	inventory			
440	440 1688 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	d63ae52d-60c8-4c80-8424-a6c8bc4932de	403	805	1688	1688	1688-01-01	1688-12-31	resolutions	ordinaris		republic_inventory	inventory			
441	441 1689 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	25d0660c-dc2a-4eaa-8d70-e3bc313bef68	506	1011	1689	1689	1689-01-01	1689-12-31	resolutions	ordinaris		republic_inventory	inventory			
442	442 1690 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	05a11517-8e37-4657-9594-89828600a57f	455	909	1690	1690	1690-01-01	1690-12-31	resolutions	ordinaris		republic_inventory	inventory			
443	443 1691 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	ece39c35-a864-4506-8296-b89954ad869b	428	855	1691	1691	1691-01-01	1691-12-31	resolutions	ordinaris		republic_inventory	inventory			
444	444 1692 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	50e22b22-8ab1-42b3-84c0-8a4ae15f3dcc	435	869	1692	1692	1692-01-01	1692-12-31	resolutions	ordinaris		republic_inventory	inventory			
445	445 1693 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	0c3b09d5-e088-4526-aa2f-c8c1150483cb	455	909	1693	1693	1693-01-01	1693-12-31	resolutions	ordinaris		republic_inventory	inventory			
446	446 1694 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	62093b9f-75a6-474f-981d-44d7e7f030b5	435	869	1694	1694	1694-01-01	1694-12-31	resolutions	ordinaris		republic_inventory	inventory			
447	447 1695 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	14945799-01a2-43bf-9c6b-11bfb0793a12	451	901	1695	1695	1695-01-01	1695-12-31	resolutions	ordinaris		republic_inventory	inventory			
448	448 1696 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	6d59e753-eb9e-4d72-b53b-c05f6f192bd3	403	805	1696	1696	1696-01-01	1696-12-31	resolutions	ordinaris		republic_inventory	inventory			
449	449 1697 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	dbbcdb4d-93fb-4dbf-ae0e-c4323ea31382	371	741	1697	1697	1697-01-01	1697-12-31	resolutions	ordinaris		republic_inventory	inventory			
450	450 1698 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	afaeef6f-763d-4f6b-a079-a949699d16a0	378	755	1698	1698	1698-01-01	1698-12-31	resolutions	ordinaris		republic_inventory	inventory			
451	451 1699 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	d02a64c6-e6f8-4887-984a-86a014372f6c	393	785	1699	1699	1699-01-01	1699-12-31	resolutions	ordinaris		republic_inventory	inventory			
452	452 1700 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	1df1667b-af6b-4df9-942c-3136fbb6009e	341	681	1700	1700	1700-01-01	1700-12-31	resolutions	ordinaris		republic_inventory	inventory			
453	453 1701 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	a9857254-12b1-4b86-a8c7-62ad7cb6d597	381	761	1701	1701	1701-01-01	1701-12-31	resolutions	ordinaris		republic_inventory	inventory			
454	454 1702 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	fc3ae563-2a85-4a4a-8542-67c336b9f82d	602	1203	1702	1702	1702-01-01	1702-12-31	resolutions	ordinaris		republic_inventory	inventory			
455	455 1703 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	cbb2825b-7494-4eb2-9e25-ebca2582ac19	721	1441	1703	1703	1703-01-01	1703-12-31	resolutions	ordinaris		republic_inventory	inventory			
456	456 1704 gedrukt	NL-HaNA_1.10.94	8497afff-3728-464a-a048-f13b6e1008d2	860e0e0c-b8a8-4f42-87ca-2e15799120f4	730	1459	1704	1704	1704-01-01	1704-12-31	resolutions	ordinaris		republic_inventory	inventory			
3096	3096 1576 augustus 4 - mei 18 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	5f95c79c-4132-41e4-8030-71e4c121adf7	64	127	1576	1576	1576-08-04	1576-05-18	index	ordinaris		republic_inventory	inventory			
3097	3097 1577 mei 20 - november 21	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	c4e2298d-92ad-402e-8844-ef064409c230	520	1039	1577	1577	1577-05-20	1577-11-21	resolutions	ordinaris		republic_inventory	inventory			
3098	3098 1577 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	6156ee78-6ad4-4d51-b35c-3eeedd6ea003	70	139	1577	1577	1577-01-01	1577-12-31	index	ordinaris		republic_inventory	inventory			
3099	3099 1577 november 22 - 1578 april 20	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	260bae54-75fe-44dc-8640-76d7229f03b5	460	919	1577	1577			resolutions	ordinaris		republic_inventory	inventory			
3102	3102 1579	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	2a4dfca0-3dab-4bbf-a3a3-97f289688931	226	451	1579	1579			resolutions	ordinaris		republic_inventory	inventory			
3103	3103 1579 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	e9487781-c1f5-4cfb-8f56-e9921fc5043c	68	135	1579	1579			index	ordinaris		republic_inventory	inventory			
3104	3104 1580 januari - november 27	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	8acb632c-c524-467e-b3b6-5f368ae79564	191	381	1580	1580			resolutions	ordinaris		republic_inventory	inventory			
3105	3105 1580 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	9608bc93-4c5b-47d3-8f57-90ff49f1380c	65	129	1580	1580			index	ordinaris		republic_inventory	inventory			
3106	3106 1580 november 28 - 1581 augustus 24	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	f63b8659-6aeb-4db3-817d-3c73cd826683	128	255	1580	1580			resolutions	ordinaris		republic_inventory	inventory			
3107	3107 1581 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	62d145b2-d924-4264-ad79-a85b10a25219	72	143	1581	1581			index	ordinaris		republic_inventory	inventory			
3108	3108 1582 januari 29 - juli 17	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	3bdba89d-bc8e-4ed8-82db-3c07ff37767a	87	173	1582	1582			resolutions	ordinaris		republic_inventory	inventory			
3109	3109 1582 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	364bc8f4-2f48-4d4c-8d9f-023fe8574925	60	119	1582	1582			index	ordinaris		republic_inventory	inventory			
3110	3110 1582 juli 2 - 1583 december 31	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	03cd58ce-5da3-4589-957c-a7963b4afaa3	460	919	1582	1582			resolutions	ordinaris		republic_inventory	inventory			
3111	3111 1583 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	d3e76da0-a947-4195-beaf-7c3ca6d199c5	62	123	1583	1583			index	ordinaris		republic_inventory	inventory			
3112	3112 1584	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	bcd94122-124c-47d9-8beb-11b5a711e6d2	595	1189	1584	1584			resolutions	ordinaris		republic_inventory	inventory			
3113	3113 1584 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	85a68a64-a322-4828-9d80-06230f5f67c3	62	123	1584	1584			index	ordinaris		republic_inventory	inventory			
3114	3114 1585	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	e222094c-34b7-40ab-b4c4-0d50bd81a833	289	577	1585	1585			resolutions	ordinaris		republic_inventory	inventory			
3116	3116 1586	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	e939bc7f-f017-4990-a6f5-725611c4873f	368	735	1586	1586			resolutions	ordinaris		republic_inventory	inventory			
3117	3117 1586 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	6e2b1e97-5d80-45df-8687-b7e16d4b7950	54	107	1586	1586			index	ordinaris		republic_inventory	inventory			
3118	3118 1587	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	b84c3cf4-7cea-4370-a7ef-73f5d964b5eb	474	947	1587	1587			resolutions	ordinaris		republic_inventory	inventory			
3120	3120 1588	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	bb036373-01eb-43ce-9869-8732b684e3d5	443	885	1588	1588			resolutions	ordinaris		republic_inventory	inventory			
3122	3122 1589	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	04a3db67-4289-4aa1-9531-facf2597aea5	690	1379	1589	1589			resolutions	ordinaris		republic_inventory	inventory			
3124	3124 1590	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	93d812e2-ae11-4cef-9423-1eb0994c857b	558	1115	1590	1590			resolutions	ordinaris		republic_inventory	inventory			
3125	3125 1590 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	342f861c-23ae-4e91-a67c-06cf8f59dc4f	59	117	1590	1590			index	ordinaris		republic_inventory	inventory			
3126	3126 1591	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	8c9ee6a5-d95b-40f3-a1d5-f047b684a0fb	369	737	1591	1591			resolutions	ordinaris		republic_inventory	inventory			
3127	3127 1591 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	5315f448-7f03-4e78-896a-02fead7db3af	55	109	1591	1591			index	ordinaris		republic_inventory	inventory			
3128	3128 1592	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	c2e87866-9731-41f2-adf2-fff8c7d86e04	537	1073	1592	1592			resolutions	ordinaris		republic_inventory	inventory			
3129	3129 1592 index	NL-HaNA_1.01.02	6e8998f6-cc66-43b9-92ae-85423ed66958	b37b9709-5ed7-458c-84c8-1916b291e426	57	113	1592	1592			index	ordinaris		republic_inventory	inventory			
