beroep,aantal
Kleermaker,1394
Schoenmaker,890
Varensman,804
Koopman,764
Bakker,638
Schoenlapper,596
Binnenlandsvaarder,529
Schipper,430
Scheepstimmerman,375
Droogscheerder,346
Linnenwever,332
Snijder,294
Kuiper,291
Kramer,283
Herbergier,256
Varensgezel,240
Korendrager,211
Schuitenvoerder,205
Kistenmaker,202
Lichterman,184
Timmerman,184
Lakenbereider,181
Huistimmerman,168
Metselaar,167
Smid,139
Molenaar,131
Wijnverlater,130
Sleper,127
Slotenmaker,122
Schilder,120
Lakenkoper,116
Chirurgijn,114
Goudsmid,106
Vleeshouwer,100
Damloper,93
Kousenmaker,90
Straatarbeider,86
Kruidenier,84
Arbeider,83
Passementwerker,82
Kraamster,81
Mandenmaker,71
Vlotschuitenvoerder,70
Glazenmaker,69
Tapster,69
Wever,69
Lijndraaier,67
Hoedenmaker,63
Sjouwer,61
Tapper,56
Houtzager,55
Kaffawerker,54
Schoolmeester,54
Wijnkoper,54
Koekbakker,53
Messenmaker,51
Spaansleerbereider,50
Verver,50
Huisman,49
Brouwersknecht,46
Huidenvetter,44
Modderman,44
Bontwerker,43
Appelkoopster,40
Boratwerker,40
Zijdenlakenkoper,40
Zilversmid,40
Koperslager,39
Vettewarier,39
Visser,38
Zijdeverver,36
Suikerbakker,34
Broekenmaker,33
Steenhouwer,33
Wieldraaier,33
Apotheker,32
Ladenmaker,32
Soldaat,32
Distillateur,31
Wielmaker,29
Pelser,28
Kaagschipper,27
Witwerker,27
Zeemleertouwer,27
Zeepzieder,27
Ebbenhoutwerker,26
Zwaardveger,26
Komenijhouder,25
Pontman,25
Zeilmaker,25
Houtwerker,24
Pasteibakker,24
Barbier,23
Grootschipper,23
Spaansestoelenmaker,23
Stuurman,23
Zuivelkoper,23
Opperman,22
Brandewijnbrander,21
Dokter in de Medicijnen,21
Koffermaker,21
Waagdrager,21
Wolwever,21
Faktoor,20
Kaarsenmaker,20
Makelaar,20
Portugees koopman,20
Storter,20
Tavernier,20
IJzerkramer,19
Tafellakenwever,19
Viskoper,19
