Nr.	Hoedanigheid	Rood	Categorie GD	Level_2	Cat_1_nieuw	Cat_2_nieuw	Categorie_RS_1	Categorie_RS_2	Comment_JO	Comment_RS	Categorie NG	Patterns	tags																
814	aalmoessenier		Godsdienst		Religie		Religie				kw_beroep	aalmoes+eni\w*	"""Aalmoesseniers ende Heylige Geestmeesters"""																
630	aanhanger van het huis van oranje		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_id	\baanha\w*.*huis.*ora\w*	"""Aanhangers van het Huis van Orange"""																
674	aanlegger		Juridische status		Justitie		(Juridische) status en Rechtspraak		P&J [NG hier]		kw_id	\baanleg+er\w*	"""Aanleggeresse"""																
415	aannemer		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_ambt	a[ea]n?nee?me\w*rs?\w*	"""aennemers"";""aannemers"";""Aannemers"""																
575	aartshertog		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_edelen	\b[ae]+[ir]t[sz]hert\w*	"""Ertzhertogen"";""Ertshertogen"";""Ertzhertoge"""																
341	abt		Godsdienst		Religie		Religie				kw_kerk	\bab+[dt]+[yie]*s?\b	"""Abt"";""abt"";""Religieusen der voorsz Abdye"""																
217	adelborst		Krijgsmacht	Marine	Leger & Milities		Leger & Milities				kw_edelen	\badelbors\w*	"""Adelborst"";""gewesen Adelborst in Brasil"";""Adelborst onder de Compaignie vanden"""																
204	adjudant		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_ambt	\bad\w*ant\w*	"""Admirante van Arragon"";""Admirante"";""Adjutant"""																
624	adjunct	adjunt-reviseur	Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_ambt	\bad[ij]+un\w*	"""Adjuncten Reviseurs"";""adjuncten reviseurs"";""Adjunct Reviseur"""																
33	adjuster		geen hoedanigheid							GD: geen hoedanigheid, Frans ww	kw_ambt	\bad[ij]ust\w*	"""adjusteren"";""adjustement"";""adjusteren."""																
160	administrateur		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_rest	\badmi\w*rs?e?n?\b, ^ *\w* *\badmi\w*r[senm]*\b	"""Administratorem"";""Administratores"""																
180	administrator		Politiek & bestuur	lokaal	Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_rest	\badmi\w*rs?e?n?\b, ^ *\w* *\badmi\w*r[senm]*\b	"""Administratoren"";""Administrator"";""administratoren"""																
196	admiraal		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_ambt	\badmi?r[^t]*\b, \b\w*miraal\w*	"""Lieutenant Admirael"";""Lt. Admirael"";""Vice Admirael"""																
639	admiraal		Krijgsmacht		Leger & Milities		Leger & Milities			waarom tweemaal?	kw_ambt	\badmi?r[^t]*\b, \b\w*miraal\w*	"""Lieutenant Admirael van Zeelant"";""Lieutenant Admirael van Hollandt ende Westvrieslandt"";""Vice-Admiraal van Holland en Westvriesland"""																
646	admiraal‚Äõ	admiraal	Krijgsmacht		Leger & Milities		Leger & Milities				kw_ambt	\badmi?r[^t]*\b, \b\w*miraal\w*	"""admirael l‚Äõheremite"""																
283	admodiateur		Juridische status		Politiek & Bestuur	Financiën	Politiek & Bestuur?			"GD: ""Verpachting van een domein, een bron van inkomsten door de overheid, bij overeenkomst"""	kw_beroep	\badmodia\w*\b	"""Admodiateur"";""admodiateur"";""admodiateurs"""																
