Standard_name	Region_cat	Country	Geonames_ID	Geonames_coordinates	Name	variants
Smyrna / Izmir	Europa	Turkije	3037561	[38.41, 27.13]	smirna	suyrna	smirua	simirna	smitna	smyrna	smyrne	smina	smirne
Anjou	Europa	Frankrijk	3037561	[47.33, -0.5]	anjou
Amsterdam	Noord-Holland	Nederland	2759794	[52.37, 4.88]	amsterdam	amstere	amsterdm	amsterdem	amstelredum	am sterdam	amsterdr	amstel redam	amstelredan	amstterdam	amsterd	amsterdain	amfte	stad-amsterdam	amsterdan	amst	amstelredam	amstelred	ansterdam	amsterde	amsterdum	aamsterdam	amiterdam	amterdam	amste	amsterda	amster dam	amsteren	amstendam	amsterdom	amster	amsteldam	amserdam	amsterstam
Maastricht	Limburg	Nederland	2751283	[50.84, 5.68]	maastricht	maastriche	maastrichts	maastrikt	maastrichte	maastrich	maastrichtse	stad-maastricht	maastriht	maastticht	tricht	maatricht	maastrant	waastricht	maastrecht	maasticht	maastrcht	maastrig	naastricht	maasricht	maastrieht	maastracht	maastrichter	maasstricht	manstricht	maas tricht	maastr
Brussel	Europa	België	2800866	[50.85, 4.34]	brussel	brissel	brus	boussel	brusse	bruyssel	brussen	brussell	brusselden	brassel	brusel	brusfel	baussel	brussele	brustel	brussee	brnssel	bussel	prussel	bruessel
Rotterdam	Zuid-Holland	Nederland	2747891	[51.92, 4.47]	rotterdam	rotter dam	rotterd	lotterdam	rotterdamme	rotterdum	retterdam	rotterdom	rot terdam	ro terdam	rotter	roterdam	rotrerdam	ratterdam	rottere	rotteren	rotterda	rotterdan
Engeland	Europa	VK	2648147	[54, -2]	engeland	ingeland	engelanden	englt	engelen	engelandende	england	engelandts	engelande	engel	geland	engelt	engelan	engelands	engelland
Parijs	Europa	Frankrijk	2988507	[48.85, 2.34]	parys	purys	paros	parye	pariys	pavis	panys	pario	parie	parvs	patys	pauys	tarys	parysden	parjs	pavys	larys	pary	sarys
Londen	Europa	VK	2643743	[51.50, -0.12]	londen	louden	londenden	sonden
Frankrijk	Europa	Frankrijk	3017382	[46, 2]	frankryk	vrancr	vrantryk	vrantkryk	vrankeryk	vramkryk	vrarkryk	vrunkryk	vrakryk	vrankrik	vrankn	frankryknde	vrankryek	wrankryk	vronkryk	vankryk	mankryk	vrankrs	vvankryk	brankryk	vrancryke	vrankrycx	vrankri	vrankwyk	vranchryk	orankr	vrankryc	vrankryh	vrank	vrankre	vrankriyk	vranktyk	frankrykte	vrankruk	vrankryl	vrancryk	vrankrye	vrankr	vrankrys	vrankeryke	vrankvyk	vranekryk	franker	vrankryt	trankryk	vanfrankryk	vrankry	vtankryk	frankrykn	vrankryjk	vranc	frankryks	vranke	vlankryk	france	frankrjk	vrankrjk	vrancq	vrankeyk
Vlaanderen	Europa	België	2797656	[51.05, 3.71]	vlaanderen	vlaamderen	vluenderen	vlaander	vlanderen	vlaanden	vlaandenen	vlaande	flanderen	flaanderen	oostvlaanderen	vlaandere	vaanderen	vlaandern	enflandren	vlaandren
