Labels	Remarks	Name	Keywords	etc.


Regionaal - Bestuur - Republiek		Staten van Zeeland	Staten van Zeelant	Staten van de Provincie van Zeelant
Regionaal - Bestuur - Republiek		Staten van Friesland	Staten van Vrieslant	Staten van de Provincie van Vrieslant
Regionaal - Bestuur - Republiek		Staten van Stad en Lande	Staten van Staten Lande	Staten van Stad en Lande	Staten van de Provincie van Staten Lande	Staten van State Groningen
Regionaal - Bestuur - Republiek		Staten van Overijssel	Staten van de provincie van Overyssel	Ridderschap en Steden de Staten van Overyssel	Staten van Overyssel	Ridderschap en Steden der Lantschap van Overyssel	Ridderschap en Steden
Regionaal - Bestuur - Republiek		Staten van Gelderland	Staten van Gelderlant	Staten van de Provincie van Gelderlant	Staten des Vorstendoms Gelderlant
Regionaal - Bestuur - Republiek		Staten van Utrecht	Staten van de provincie van Utrecht	Staten van Utrecht	Staten 's Lants van Utrecht
Regionaal - Bestuur - Republiek		Staten van Holland en Westfriesland	Staten van Hollant en Westvrieslant	Staten van de Provincie van Hollant en Westvrieslant	Staten van Hollant	Staten van de Provincie van Hollant
Regionaal - Bestuur - Republiek		Staten van Drente	Staten van het Lantschap Drenthe
	
Regionaal - Bestuur - Europa - Zuidelijke Nederlanden		Staten van Brabant	Staten van Brabant
Regionaal - Bestuur - Europa - Zuidelijke Nederlanden		Staten van Doornik	Staten van Doornik
Regionaal - Bestuur - Europa - Zuidelijke Nederlanden		Staten van Vlaanderen	Staten van Vlaanderen
Regionaal - Bestuur - Republiek - Zuidelijke Nederlanden		Staten van Overmaze	Staten der drie Landen van Overmaze	Staten van de drie Landen van Overmaze

Regionaal - Bestuur - Europa		Ridderschap van Oostfriesland	Ridderschap van Oostvrieslant
Regionaal - Bestuur - Republiek		Ridderschap van Holland	Ridderschap en Edelen van Hollant

		ongeldig	Gedeputeerden van de	Gedeputeerde Staten van	Staten hare Principalen	Gedeputeerden te Velde	Gecommitteerde Raden van

