Admiraliteijt	admirt	admt
Ambassadeur	ambassadr	ambr	ambassr
antiquo	antquo
antwoort	antwt
Augustus	augs
Brabant	Brabt
Burgermeester	burgermr	burgemr
Capiteijn	capn
Commandeur	commandr	comdr
Convoijmeester	convoijmr
Convoymeester	convoymr
December	decbr	decembr	decemb
Doorluchticheijt	doorlht	doorl
extraordinaris	extr	extrs	extraords
Februarij	febrj	febrij	febry
Gecommitteerde	gecomde
Gecommitteerden	gecomden
Gedeputeerde	gedepde	gedepte
Gedeputeerden	gedepden	gedepten
Gedeputeert	gedept
gemelde	gem	geme
geschreven	gesr	gescr
gestrenge	gestr
Gouverneur	gouvr
haer	hr
Hoffmeester	hoffmr
Hoogh	ho	hoo
Licentmeester	licentmr
Messieurs	messrs
mitsgaders	mitsgrs
Mogende	moog	moo	mo	mog
Monsieur	monsr
muntmeester	muntmr
Noorderquartier	noorderqr
Noorderquartiere	noorderqre
Noorderquartiers	noorderqrs
November	novbr	novembr	novemb
Oktober	oktbr	oktobr	october	octbr	octobr	octb
Ontfanger	ontfr
ordinaris	ordin
Overquartier	overqr
Paspoort	paspt
Paspoorten	paspten
Provincien	provn
Quartier	qr
Quartiere	qre
Rentmeester	rentmr	rentemr
Rentmeester	rentmrs
Ritmeester	ritmr	ritmre
Ritmeesters	ritmrs
September	septbr	septembr	septemb
Suppliant	supplt
Supplianten	suppltn	Supplten
Suppliants	supplts
verblijven	vblijven
verclaert	vclaert
verclaren	vclaren
verclaringe	vclaringe
vergaderinge	vgaderinge
verhaelt	vhaelt
vermanen	vmanen
vermits	vmits
vermogen	vmogen
verscheijde	vscheijde
verscheijden	vscheijden
verscheyden	vscheyden
verseeckeringe	vseeckeringe
versien	vsien
versocht	vsocht
versochte	vsochte
versoeck	vsoeck
versoecken	vsoecken
versoeckende	vsoeckende
versoght	vsoght
versouck	vsouck
versoucken	vsoucken
verstaen	vstaen
versterckinge	vsterckinge
vertreck	vtreck
vertrecken	vtrecken
vertrocken	vtrocken
vertrouwen	vtrouwen
vervallen	vvallen
vervoegen	vvoegen
vervolgens	vvolgens
verwachten	vwachten
voorschreve	voorsr	voorschre	voorsch
voorzeide	voorz	voorsz
Vranckrijck	vranckr	vrancr
