De	B-ORG
Staten	I-ORG
Generael	I-ORG
der	I-ORG
Vereenichde	I-ORG
nederlanden	I-ORG
allen	O
den	O
geenen	O
die	O
desen	O
sullen	O
sien	O
ofte	O
hooren	O
lesen	O
valut	O
Doln	O
te	O
weeten	O
.	O
dat	O
wj	O
opden	O
26.	B-DAT
Julij	I-DAT
ende	I-DAT
16	I-DAT
October	I-DAT
respectiue	I-DAT
in	I-DAT
het	I-DAT
voorleden	I-DAT
jaer	I-DAT
1638	I-DAT
.	O
hebben	O
versocht	O
geauthoriseert	O
ende	O
gecommitteert	O
de	O
heeren	O
Johan	B-PER
helffken	I-PER
,	I-PER
Pauwels	I-PER
van	I-PER
Aspere	I-PER
Nicolaes	I-PER
van	I-PER
Reiygersberch	I-PER
,	I-PER
Johan	I-PER
Com	I-PER
van	I-PER
Wjngaerden	I-PER
,	I-PER
Johan	I-PER
Dedel	I-PER
:	I-PER
Jacob	I-PER
Zas	I-PER
,	I-PER
Arnout	I-PER
Hoornhoven	I-PER
,	I-PER
Joachim	I-PER
Andree	I-PER
mathys	I-PER
viersen	I-PER
,	I-PER
Raden	B-HOE
respectiue	I-HOE
in	I-HOE
de	I-HOE
heven	I-HOE
van	I-HOE
justitie	I-HOE
in	I-HOE
Gelderlandt	I-HOE
,	I-PER
hollandt	I-PER
Zeelandt	I-PER
ende	I-PER
mestfrieslandt	I-PER
Utrecht	I-PER
ende	I-PER
Stadt	I-PER
en	I-PER
Vrieslandt	I-PER
om	O
by	O
hun	O
volgens	O
&	O
in	O
conformité	O
vande	O
Commissie	O
daer	O
van	O
synde	O
in	O
onsen	O
naem	O
ende	O
van	O
onsent	O
wegen	O
getermineert	O
ende	O
gedecideert	O
te	O
worden	O
de	O
overige	O
differenten	O
daerbevoorens	O
beschreven	O
ende	O
in	O
Staet	O
van	O
wysen	O
gebracht	O
tusschen	O
de	O
Stadt	B-LOC
Groeningen	I-LOC
ende	O
den	B-LOC
Ommelanden	I-LOC
respectiue	O
sulcx	O
sy	O
heeren	B-HOE
Rechteren	I-HOE
naer	O
rechten	O
ende	O
redenen	O
in	O
goeder	O
conscientie	O
bevinden	O
sullen	O
te	O
behooren	O
,	O
in	O
welcke	O
Saecken	O
sij	O
heeren	B-HOE
Rechteren	I-HOE
Zedert	O
het	O
aennemen	O
vande	O
vss	O
Commissie	O
seer	O
neerstich	O
ende	O
sorchvuldichlick	O
hebben	O
gebesoigneert	O
,	O
sulcx	O
dat	O
de	O
Saecke	O
aenen	O
aen	O
zal	O
connen	O
gebracht	O
worden	O
in	O
staet	O
om	O
gedecideert	O
te	O
worden	O
,	O
maer	O
alsoo	O
wy	O
daer	O
in	O
te	O
gegoet	O
sien	O
dat	O
de	O
uytterlicke	O
decisie	O
van	O
rechten	O
ter	O
eenre	O
&	O
ter	O
andere	O
zyyde	O
notable	O
veranderinge	O
soude	O
mogen	O
veroorsaecken	O
,	O
daer	O
door	O
den	O
cours	O
in	O
de	O
gemeene	O
Saecke	O
aldaer	O
by	O
consequentie	O
ende	O
reflexie	O
voor	O
eenigen	O
tijt	O
soude	O
mogen	O
verhindert	O
ende	O
„	O
geretardeert	O
worden	O
,	O
ende	O
dat	O
in	O
allen	O
gevallen	O
d'executie	O
die	O
op	O
de	O
te	O
geven	O
decisie	O
soude	O
moeten	O
volgen	O
met	O
moeyte	O
authoriteyt	O
ende	O
groote	O
costen	O
soude	O
moeten	O
gedirigeert	O
worden	O
tusschen	O
twee	O
soo	O
notable	O
leden	O
vande	O
Unne	O
gelyck	O
hiervevoorens	O
in	O
gelycke	O
casus	O
is	O
gebleecken	O
,	O
Soo	O
hebben	O
wij	O
om	O
dese	O
ende	O
andere	O
meenichftuldige	O
redenen	O
ende	O
consideratien	O
ons	O
moverende	O
ampts	O
halven	O
ten	O
besten	O
van	O
parthien	O
wedersyts	O
op	O
voorgaende	O
exempel	O
goetgevonden	O
ende	O
verstaen	O
nader	O
te	O
versoecken	O
authoriseren	O
&	O
committeren	O
,	O
gelyck	O
wij	O
nader	O
versoecken	O
authoriseren	O
&	O
committeren	O
mits	O
desen	O
de	O
gemelte	O
heeren	B-HOE
Rechteren	I-HOE
dat	O
sy	O
t'samentlick	O
off	O
biy	O
absentie	O
indispositie	O
off	O
andere	O
ongelegentheijt	O
het	O
meerendeel	O
vandien	O
sich	O
met	O
derselver	O
gevolch	O
sullen	O
transporteren	O
over	O
de	O
beste	O
bequaemste	O
ende	O
gelegentste	O
wech	O
naer	O
de	O
Stadt	B-LOC
Groeningen	I-LOC
voornt	O
tot	O
coste	O
van	O
parthien	O
wedersyts	O
&	O
deselve	O
voor	O
haer	O
te	O
bescheyden	O
ende	O
yder	O
vandien	O
in	O
syn	O
regard	O
de	O
swaricheden	O
van	O
sodanige	O
gewichtige	O
Saecken	O
voor	O
te	O
houden	O
,	O
ende	O
deselve	O
met	O
alle	O
inductien	O
redenen	O
&	O
motimen	O
induceren	O
tot	O
den	O
wech	O
van	O
Vreede	O
&	O
onderling	O
verdrach	O
op	O
onse	O
approbatie	O
&	O
ratificatie	O
,	O
Dan	O
sulcx	O
nae	O
gedane	O
ende	O
aengemende	O
moeyte	O
getenteert	O
wesende	O
&	O
niet	O
willende	O
vallen	O
off	O
accoordt	O
gevonden	O
&	O
getroffen	O
cunnende	O
worden	O
,	O
sullen	O
de	O
meergemelte	O
heeren	B-HOE
Rechteren	I-HOE
sich	O
wederom	O
herwaerts	O
vervougen	O
en	O
aen	O
en	O
aen	O
in	O
de	O
voornoemde	O
besoignes	O
voortvaren	O
oock	O
de	O
Saecke	O
volgens	O
&	O
in	O
cracht	O
van	O
derselver	O
Commissie	O
decideren	O
.	O
Ende	O
sullen	O
de	O
heeren	B-HOE
Burgermeesters	I-HOE
der	I-HOE
Stadt	B-LOC
Groeningen	I-LOC
,	O
als	O
oock	O
de	O
heeren	B-HOE
van	I-HOE
den	B-LOC
Ommelanden	I-LOC
elck	O
met	O
een	O
brieff	O
apart	O
van	O
dese	O
haer	O
ho	O
:	O
Mo	O
:	O
resolutie	O
,	O
ende	O
compste	O
vande	O
meer	O
gem	O
:	O
heeren	B-HOE
Rechteren	I-HOE
worden	O
geadverteert	O
oock	O
respectiuel	O
versocht	O
sich	O
tot	O
accommodatie	O
&	O
verdrach	O
te	O
willen	O
disponeren	O
&	O
sullen	O
in	O
de	O
voorss	O
missive	O
alle	O
bedenckelicke	O
redenen	O
worden	O
geinsereert	O
.	O
