HHeer	B-ORG
aenwesende	I-ORG
Gedeputeerde	I-ORG
vande	I-ORG
Provintie	I-ORG
van	I-ORG
Vrieslandt	I-ORG
,	O
heeft	O
ingevolge	O
van	O
hare	B-RES
Ho	I-RES
:	I-RES
Mo	I-RES
:	I-RES
resolutie	I-RES
vanden	I-RES
thienden	B-DAT
Januarij	I-DAT
lestleden	I-DAT
op	O
de	O
tourbeurte	O
van	O
deselve	O
Provintie	O
genomimeert	O
den	O
persoon	O
van	O
Bartholomeus	B-PER
de	I-PER
moor	I-PER
Soon	B-HOE
van	I-HOE
Bernardinus	B-PER
de	I-PER
moor	I-PER
Predicant	B-HOE
tot	I-HOE
Culenborch	B-LOC
tot	O
derde	O
Beurse	O
breeder	O
in	O
de	O
voorschreve	O
resolutie	O
vermelt	O
,	O
namentlick	O
die	O
voor	O
desen	O
bij	O
Johan	B-PER
Wittens	I-PER
Soon	B-HOE
vanden	I-HOE
gewesen	I-HOE
Schoolmeester	I-HOE
tot	I-HOE
Erp	B-LOC
,	O
wierde	O
genooten	O
ter	O
Somme	O
van	O
tachtich	O
guldens	O
Jaerlicx	O
daervan	O
aen	O
den	O
voornoemden	O
Bartholomeus	B-PER
de	I-PER
moor	I-PER
acte	O
in	O
gewoonlicke	O
forme	O
sal	O
werden	O
gedepescheert	O
