Utrecht,	B-LOC
,	O
hebben	O
ter	O
Vergaderinge	O
voorgedragen	O
,	O
dat	O
de	O
Heeren	O
hare	O
Principalen	O
mede	O
hadden	O
bewillight	O
in	O
het	O
Douceur	O
aen	O
de	O
Militie	O
van	O
den	O
Stact	O
toe	O
te	O
voegen	O
,	O
welcken	O
aengaende	O
de	O
Heeren	O
van	O
de	O
twee	O
voorstemmende	O
Leden	O
sich	O
den	O
16	O
.	O
December	O
1706	O
.	O
in	O
de	O
secrete	O
Notulen	O
te	O
sien	O
,	O
hebben	O
geuyt	O
.	O
Waer	O
op	O
gedelibereert	O
zynde	O
,	O
is	O
alsulcks	O
eenparigh	O
goedtgevonden	O
ende	O
verstaen	O
,	O
te	O
consenteren	O
,	O
gelijck	O
by	O
haer	O
Edele	O
Mog	O
.	O
geconsenteert	O
werdt	O
by	O
desen	O
,	O
in	O
het	O
Douceur	O
,	O
toe	O
te	O
voegen	O
aen	O
de	O
Militie	O
in	O
dienst	O
van	O
den	O
Staet	O
,	O
soo	O
en	O
in	O
voegen	O
het	O
selve	O
by	O
haer	O
Hoog	O
Mogende	O
Resolutie	O
van	O
den	O
dertienden	O
December	O
1706	O
.	O
,	O
geinsereert	O
in	O
haer	O
Ed	O
.	O
Mog	O
.	O
secrete	O
Notulen	O
van	O
den	O
sestienden	O
deser	O
loopende	O
maendt	O
staet	O
vervat	O
,	O
te	O
vinden	O
uyt	O
de	O
Contributien	O
,	O
dic	O
wegens	O
den	O
Staet	O
sullen	O
werden	O
ingevordert	O
.	O
Ende	O
sal	O
hier	O
van	O
by	O
Missive	O
kennifse	O
werden	O
gegeven	O
aen	O
de	O
Heeren	O
,	O
wegens	O
de	O
Provincie	O
gecommitteert	O
ter	O
Vergaderinge	O
van	O
haer	O
Hoogh	O
Mogende	O
,	O
om	O
ter	O
opgemelde	O
Vergaderinge	O
,	O
in	O
voegen	O
als	O
boven	O
te	O
consenteren	O
-	O
Onder	O
stondt	O
,	O
Accordeert	O
met	O
de	O
voorschreve	O
Resolutien	O
.	O
Getekent	O
,	O
P	O
.	O
Voet	O
van	O
Winssen	O
.	O
Waer	O
op	O
gedelibereert	O
zvnde	O
,	O
is	O
goedtgevonden	O
ende	O
verstaen	O
,	O
dat	O
Copye	O
van	O
de	O
voorschreve	O
consenten	O
gesonden	O
sal	O
werden	O
aen	O
den	O
Raedt	O
van	O
State	O
,	O
om	O
te	O
strecken	O
tot	O
der	O
selver	O
narichtinge	O
.	O
