inv_num	text_region_id	line_ids	scan_id	scan_num	page_num	year	month_num	day_num	date_type
3270		NL-HaNA_1.01.02_3270_0040-line-3451-760-1404-284	NL-HaNA_1.01.02_3270_0040	40	79	1664	1	2	start
3270		NL-HaNA_1.01.02_3270_0042-line-3638-1438-963-155	NL-HaNA_1.01.02_3270_0042	42	83	1664	1	3	start
3270		NL-HaNA_1.01.02_3270_0044-line-1206-2881-1193-186	NL-HaNA_1.01.02_3270_0044	44	86	1664	1	4	start
3270		NL-HaNA_1.01.02_3270_0047-line-1072-70-1029-194	NL-HaNA_1.01.02_3270_0047	47	92	1664	1	5	start
3270		NL-HaNA_1.01.02_3270_0048-line-3636-1277-1202-156	NL-HaNA_1.01.02_3270_0048	48	95	1664	1	6	start
3270		NL-HaNA_1.01.02_3270_0048-line-3540-1627-1055-139	NL-HaNA_1.01.02_3270_0048	48	95	1664	1	7	start
3270		NL-HaNA_1.01.02_3270_0055-line-3619-1249-1029-192	NL-HaNA_1.01.02_3270_0055	55	109	1664	1	10	start
3270		NL-HaNA_1.01.02_3270_0056-line-3711-3034-1270-234	NL-HaNA_1.01.02_3270_0056	56	111	1664	1	11	start
3270		NL-HaNA_1.01.02_3270_0059-line-1222-796-1237-158	NL-HaNA_1.01.02_3270_0059	59	116	1664	1	12	start
3270		NL-HaNA_1.01.02_3270_0060-line-1088-73-1351-176	NL-HaNA_1.01.02_3270_0060	60	118	1664	1	13	start
3270		NL-HaNA_1.01.02_3270_0060-line-916-489-1239-163	NL-HaNA_1.01.02_3270_0060	60	118	1664	1	14	start
3270		NL-HaNA_1.01.02_3270_0063-line-3652-633-1359-265	NL-HaNA_1.01.02_3270_0063	63	125	1664	1	15	start
3270		NL-HaNA_1.01.02_3270_0064-line-3608-1488-1245-192	NL-HaNA_1.01.02_3270_0064	64	127	1664	1	16	start
3270		NL-HaNA_1.01.02_3270_0066-line-1248-1263-1075-185	NL-HaNA_1.01.02_3270_0066	66	130	1664	1	17	start
3270		NL-HaNA_1.01.02_3270_0067-line-1082-2931-1270-230	NL-HaNA_1.01.02_3270_0067	67	132	1664	1	18	start
3270		NL-HaNA_1.01.02_3270_0071-line-1154-660-1358-237	NL-HaNA_1.01.02_3270_0071	71	140	1664	1	20	start
3270		NL-HaNA_1.01.02_3270_0071-line-1153-1178-1176-159	NL-HaNA_1.01.02_3270_0071	71	140	1664	1	21	start
3270		NL-HaNA_1.01.02_3270_0073-line-3371-1630-1299-184	NL-HaNA_1.01.02_3270_0073	73	145	1664	1	22	start
3270		NL-HaNA_1.01.02_3270_0075-line-1168-2250-1117-163	NL-HaNA_1.01.02_3270_0075	75	148	1664	1	23	start
3270		NL-HaNA_1.01.02_3270_0083-line-3453-2040-1184-272	NL-HaNA_1.01.02_3270_0083	83	165	1664	1	24	start
3270		NL-HaNA_1.01.02_3270_0086-line-3460-159-1257-197	NL-HaNA_1.01.02_3270_0086	86	171	1664	1	25	start
3270		NL-HaNA_1.01.02_3270_0089-line-1232-3238-1299-190	NL-HaNA_1.01.02_3270_0089	89	176	1664	1	26	start
3270		NL-HaNA_1.01.02_3270_0090-line-3403-3148-1615-275	NL-HaNA_1.01.02_3270_0090	90	179	1664	1	27	start
3270		NL-HaNA_1.01.02_3270_0091-line-978-14-1199-215	NL-HaNA_1.01.02_3270_0091	91	180	1664	1	28	start
3270		NL-HaNA_1.01.02_3270_0093-line-3548-351-1324-167	NL-HaNA_1.01.02_3270_0093	93	185	1664	1	29	start
3270		NL-HaNA_1.01.02_3270_0098-line-997-687-1176-217	NL-HaNA_1.01.02_3270_0098	98	194	1664	1	31	start
3270		NL-HaNA_1.01.02_3270_0099-line-3399-1865-1578-296	NL-HaNA_1.01.02_3270_0099	99	197	1664	2	1	start
3270		NL-HaNA_1.01.02_3270_0102-line-1038-3023-1436-215	NL-HaNA_1.01.02_3270_0102	102	202	1664	2	2	start
3270		NL-HaNA_1.01.02_3270_0103-line-3562-988-1483-210	NL-HaNA_1.01.02_3270_0103	103	205	1664	2	3	start
3270		NL-HaNA_1.01.02_3270_0109-line-3374-2100-1500-196	NL-HaNA_1.01.02_3270_0109	109	217	1664	2	5	start
3270		NL-HaNA_1.01.02_3270_0112-line-1018-2968-1296-160	NL-HaNA_1.01.02_3270_0112	112	222	1664	2	6	start
3270		NL-HaNA_1.01.02_3270_0118-line-939-1702-1334-217	NL-HaNA_1.01.02_3270_0118	118	234	1664	2	9	start
3270		NL-HaNA_1.01.02_3270_0119-line-978-2538-1402-181	NL-HaNA_1.01.02_3270_0119	119	236	1664	2	10	start
3270		NL-HaNA_1.01.02_3270_0119-line-846-2930-1300-193	NL-HaNA_1.01.02_3270_0119	119	236	1664	2	11	start
3270		NL-HaNA_1.01.02_3270_0131-line-1000-2141-1449-220	NL-HaNA_1.01.02_3270_0131	131	260	1664	2	17	start
3270		NL-HaNA_1.01.02_3270_0132-line-3402-3032-1634-204	NL-HaNA_1.01.02_3270_0132	132	263	1664	2	19	start
3270		NL-HaNA_1.01.02_3270_0134-line-1001-1552-1403-240	NL-HaNA_1.01.02_3270_0134	134	266	1664	2	20	start
3270		NL-HaNA_1.01.02_3270_0142-line-3463-3228-1459-278	NL-HaNA_1.01.02_3270_0142	142	283	1664	2	22	start
3270		NL-HaNA_1.01.02_3270_0146-line-972-2401-1518-286	NL-HaNA_1.01.02_3270_0146	146	290	1664	2	23	start
3270		NL-HaNA_1.01.02_3270_0152-line-3527-3093-1358-195	NL-HaNA_1.01.02_3270_0152	152	303	1664	2	24	start
3270		NL-HaNA_1.01.02_3270_0152-line-3293-3449-1322-220	NL-HaNA_1.01.02_3270_0152	152	303	1664	2	25	start
3270		NL-HaNA_1.01.02_3270_0168-line-1227-1993-1249-240	NL-HaNA_1.01.02_3270_0168	168	334	1664	2	29	start
3270		NL-HaNA_1.01.02_3270_0174-line-3273-786-1354-226	NL-HaNA_1.01.02_3270_0174	174	347	1664	3	2	start
3270		NL-HaNA_1.01.02_3270_0174-line-3119-1204-1365-243	NL-HaNA_1.01.02_3270_0174	174	347	1664	3	3	start
3270		NL-HaNA_1.01.02_3270_0178-line-1093-2883-1343-300	NL-HaNA_1.01.02_3270_0178	178	354	1664	3	4	start
3270		NL-HaNA_1.01.02_3270_0180-line-941-1232-1379-222	NL-HaNA_1.01.02_3270_0180	180	358	1664	3	5	start
3270		NL-HaNA_1.01.02_3270_0182-line-3437-346-1239-197	NL-HaNA_1.01.02_3270_0182	182	363	1664	3	6	start
3270		NL-HaNA_1.01.02_3270_0185-line-1210-3301-1113-235	NL-HaNA_1.01.02_3270_0185	185	368	1664	3	7	start
3270		NL-HaNA_1.01.02_3270_0189-line-986-2597-1285-215	NL-HaNA_1.01.02_3270_0189	189	376	1664	3	9	start
3270		NL-HaNA_1.01.02_3270_0197-line-3460-1361-1365-189	NL-HaNA_1.01.02_3270_0197	197	393	1664	3	11	start
3270		NL-HaNA_1.01.02_3270_0202-line-3494-543-1262-224	NL-HaNA_1.01.02_3270_0202	202	403	1664	3	14	start
3270		NL-HaNA_1.01.02_3270_0206-line-3426-2756-1268-261	NL-HaNA_1.01.02_3270_0206	206	411	1664	3	16	start
3270		NL-HaNA_1.01.02_3270_0206-line-3347-3250-1060-236	NL-HaNA_1.01.02_3270_0206	206	411	1664	3	17	start
3270		NL-HaNA_1.01.02_3270_0217-line-964-3162-1337-183	NL-HaNA_1.01.02_3270_0217	217	432	1664	3	19	start
3270		NL-HaNA_1.01.02_3270_0221-line-3509-1214-1246-240	NL-HaNA_1.01.02_3270_0221	221	441	1664	3	20	start
3270		NL-HaNA_1.01.02_3270_0223-line-3518-2062-1358-273	NL-HaNA_1.01.02_3270_0223	223	445	1664	3	21	start
3270		NL-HaNA_1.01.02_3270_0229-line-3481-2127-1424-210	NL-HaNA_1.01.02_3270_0229	229	457	1664	3	23	start
3270		NL-HaNA_1.01.02_3270_0229-line-3424-2583-1363-216	NL-HaNA_1.01.02_3270_0229	229	457	1664	3	24	start
3270		NL-HaNA_1.01.02_3270_0232-line-1174-2739-1212-160	NL-HaNA_1.01.02_3270_0232	232	462	1664	3	25	start
3270		NL-HaNA_1.01.02_3270_0234-line-1040-2470-1321-181	NL-HaNA_1.01.02_3270_0234	234	466	1664	3	26	start
3270		NL-HaNA_1.01.02_3270_0237-line-3573-581-1255-207	NL-HaNA_1.01.02_3270_0237	237	473	1664	3	27	start
3270		NL-HaNA_1.01.02_3270_0241-line-3645-1389-1266-207	NL-HaNA_1.01.02_3270_0241	241	481	1664	3	29	start
3270		NL-HaNA_1.01.02_3270_0242-line-3672-1535-1257-144	NL-HaNA_1.01.02_3270_0242	242	483	1664	3	30	start
3270		NL-HaNA_1.01.02_3270_0246-line-3498-3450-1406-196	NL-HaNA_1.01.02_3270_0246	246	491	1664	4	2	start
3270		NL-HaNA_1.01.02_3270_0249-line-3508-3386-1224-206	NL-HaNA_1.01.02_3270_0249	249	497	1664	4	3	start
3270		NL-HaNA_1.01.02_3270_0257-line-1442-554-1050-207	NL-HaNA_1.01.02_3270_0257	257	512	1664	4	5	start
3270		NL-HaNA_1.01.02_3270_0258-line-3587-3026-1430-258	NL-HaNA_1.01.02_3270_0258	258	515	1664	4	6	start
3270		NL-HaNA_1.01.02_3270_0259-line-987-36-1299-229	NL-HaNA_1.01.02_3270_0259	259	516	1664	4	7	start
3270		NL-HaNA_1.01.02_3270_0261-line-3633-722-1223-149	NL-HaNA_1.01.02_3270_0261	261	521	1664	4	8	start
3270		NL-HaNA_1.01.02_3270_0264-line-3500-2929-1380-200	NL-HaNA_1.01.02_3270_0264	264	527	1664	4	9	start
3270		NL-HaNA_1.01.02_3270_0271-line-3587-1557-1233-251	NL-HaNA_1.01.02_3270_0271	271	541	1664	4	11	start
3270		NL-HaNA_1.01.02_3270_0284-line-1063-2273-1235-271	NL-HaNA_1.01.02_3270_0284	284	566	1664	4	12	start
3270		NL-HaNA_1.01.02_3270_0287-line-1090-903-1272-190	NL-HaNA_1.01.02_3270_0287	287	572	1664	4	13	start
3270		NL-HaNA_1.01.02_3270_0287-line-813-1507-1305-215	NL-HaNA_1.01.02_3270_0287	287	572	1664	4	14	start
3270		NL-HaNA_1.01.02_3270_0287-line-882-2055-1483-169	NL-HaNA_1.01.02_3270_0287	287	572	1664	4	15	start
3270		NL-HaNA_1.01.02_3270_0289-line-3519-695-1303-192	NL-HaNA_1.01.02_3270_0289	289	577	1664	4	16	start
3270		NL-HaNA_1.01.02_3270_0291-line-1098-1391-1274-229	NL-HaNA_1.01.02_3270_0291	291	580	1664	4	17	start
3270		NL-HaNA_1.01.02_3270_0296-line-3488-3269-1426-216	NL-HaNA_1.01.02_3270_0296	296	591	1664	4	19	start
3270		NL-HaNA_1.01.02_3270_0298-line-1147-2891-1452-216	NL-HaNA_1.01.02_3270_0298	298	594	1664	4	20	start
3270		NL-HaNA_1.01.02_3270_0298-line-1066-3270-1450-221	NL-HaNA_1.01.02_3270_0298	298	594	1664	4	21	start
3270		NL-HaNA_1.01.02_3270_0305-line-3410-336-1403-201	NL-HaNA_1.01.02_3270_0305	305	609	1664	4	23	start
3270		NL-HaNA_1.01.02_3270_0308-line-1069-787-1260-189	NL-HaNA_1.01.02_3270_0308	308	614	1664	4	24	start
3270		NL-HaNA_1.01.02_3270_0318-line-3350-1173-1388-189	NL-HaNA_1.01.02_3270_0318	318	635	1664	4	27	start
3270		NL-HaNA_1.01.02_3270_0319-line-1092-2310-1166-178	NL-HaNA_1.01.02_3270_0319	319	636	1664	4	28	start
3270		NL-HaNA_1.01.02_3270_0321-line-3250-1133-1272-158	NL-HaNA_1.01.02_3270_0321	321	641	1664	4	29	start
3270		NL-HaNA_1.01.02_3270_0327-line-900-1334-1308-229	NL-HaNA_1.01.02_3270_0327	327	652	1664	5	1	start
3270		NL-HaNA_1.01.02_3270_0331-line-3386-949-1070-229	NL-HaNA_1.01.02_3270_0331	331	661	1664	5	2	start
3270		NL-HaNA_1.01.02_3270_0336-line-3409-1678-1192-248	NL-HaNA_1.01.02_3270_0336	336	671	1664	5	4	start
3270		NL-HaNA_1.01.02_3270_0339-line-3321-1381-1195-221	NL-HaNA_1.01.02_3270_0339	339	677	1664	5	5	start
3270		NL-HaNA_1.01.02_3270_0339-line-3322-1791-1215-177	NL-HaNA_1.01.02_3270_0339	339	677	1664	5	6	start
3270		NL-HaNA_1.01.02_3270_0343-line-1021-3076-1161-205	NL-HaNA_1.01.02_3270_0343	343	684	1664	5	8	start
3270		NL-HaNA_1.01.02_3270_0346-line-3338-1425-1096-232	NL-HaNA_1.01.02_3270_0346	346	691	1664	5	9	start
3270		NL-HaNA_1.01.02_3270_0349-line-1105-2385-1287-227	NL-HaNA_1.01.02_3270_0349	349	696	1664	5	10	start
3270		NL-HaNA_1.01.02_3270_0352-line-3332-1711-1128-236	NL-HaNA_1.01.02_3270_0352	352	703	1664	5	11	start
3270		NL-HaNA_1.01.02_3270_0361-line-922-3164-1405-282	NL-HaNA_1.01.02_3270_0361	361	720	1664	5	16	start
3270		NL-HaNA_1.01.02_3270_0367-line-992-3012-1392-297	NL-HaNA_1.01.02_3270_0367	367	732	1664	5	17	start
3270		NL-HaNA_1.01.02_3270_0371-line-3546-519-1265-223	NL-HaNA_1.01.02_3270_0371	371	741	1664	5	18	start
3270		NL-HaNA_1.01.02_3270_0371-line-3563-909-1164-204	NL-HaNA_1.01.02_3270_0371	371	741	1664	5	19	start
3270		NL-HaNA_1.01.02_3270_0375-line-1143-2251-1184-241	NL-HaNA_1.01.02_3270_0375	375	748	1664	5	20	start
3270		NL-HaNA_1.01.02_3270_0380-line-3464-2583-1235-256	NL-HaNA_1.01.02_3270_0380	380	759	1664	5	22	start
3270		NL-HaNA_1.01.02_3270_0380-line-3462-3184-1388-227	NL-HaNA_1.01.02_3270_0380	380	759	1664	5	23	start
3270		NL-HaNA_1.01.02_3270_0383-line-3380-2201-1394-262	NL-HaNA_1.01.02_3270_0383	383	765	1664	5	24	start
3270		NL-HaNA_1.01.02_3270_0389-line-1011-2005-1363-270	NL-HaNA_1.01.02_3270_0389	389	776	1664	5	25	start
3270		NL-HaNA_1.01.02_3270_0400-line-3555-379-1256-179	NL-HaNA_1.01.02_3270_0400	400	799	1664	5	28	start
3270		NL-HaNA_1.01.02_3270_0407-line-1032-1734-1317-229	NL-HaNA_1.01.02_3270_0407	407	812	1664	5	31	start
3270		NL-HaNA_1.01.02_3270_0409-line-3560-571-1384-260	NL-HaNA_1.01.02_3270_0409	409	817	1664	6	1	start
3270		NL-HaNA_1.01.02_3270_0409-line-3412-1280-1211-236	NL-HaNA_1.01.02_3270_0409	409	817	1664	6	2	start
3270		NL-HaNA_1.01.02_3270_0412-line-3637-1000-1248-181	NL-HaNA_1.01.02_3270_0412	412	823	1664	6	4	start
3270		NL-HaNA_1.01.02_3270_0437-line-1108-847-1229-191	NL-HaNA_1.01.02_3270_0437	437	872	1664	6	6	start
3270		NL-HaNA_1.01.02_3270_0441-line-962-2499-1301-231	NL-HaNA_1.01.02_3270_0441	441	880	1664	6	9	start
3270		NL-HaNA_1.01.02_3270_0464-line-3509-3330-1309-293	NL-HaNA_1.01.02_3270_0464	464	927	1664	6	12	start
3270		NL-HaNA_1.01.02_3270_0468-line-1219-3365-1327-216	NL-HaNA_1.01.02_3270_0468	468	934	1664	6	13	start
3270		NL-HaNA_1.01.02_3270_0472-line-1177-3223-1313-227	NL-HaNA_1.01.02_3270_0472	472	942	1664	6	15	start
3270		NL-HaNA_1.01.02_3270_0473-line-3632-855-1194-236	NL-HaNA_1.01.02_3270_0473	473	945	1664	6	16	start
3270		NL-HaNA_1.01.02_3270_0478-line-1197-707-1126-181	NL-HaNA_1.01.02_3270_0478	478	954	1664	6	17	start
3270		NL-HaNA_1.01.02_3270_0508-line-3442-1085-1375-216	NL-HaNA_1.01.02_3270_0508	508	1015	1664	6	18	start
3270		NL-HaNA_1.01.02_3270_0511-line-3574-764-1238-223	NL-HaNA_1.01.02_3270_0511	511	1021	1664	6	20	start
3270		NL-HaNA_1.01.02_3270_0519-line-1168-1533-1092-156	NL-HaNA_1.01.02_3270_0519	519	1036	1664	6	22	start
3270		NL-HaNA_1.01.02_3270_0519-line-949-1851-1266-182	NL-HaNA_1.01.02_3270_0519	519	1036	1664	6	23	start
3270		NL-HaNA_1.01.02_3270_0526-line-3377-2857-1177-182	NL-HaNA_1.01.02_3270_0526	526	1051	1664	6	25	start
3270		NL-HaNA_1.01.02_3270_0532-line-3428-1740-1150-255	NL-HaNA_1.01.02_3270_0532	532	1063	1664	6	26	start
3270		NL-HaNA_1.01.02_3270_0536-line-3468-191-1142-238	NL-HaNA_1.01.02_3270_0536	536	1071	1664	6	27	start
3270		NL-HaNA_1.01.02_3270_0540-line-1149-2080-1161-240	NL-HaNA_1.01.02_3270_0540	540	1078	1664	6	29	start
3270		NL-HaNA_1.01.02_3270_0540-line-1063-2471-1162-197	NL-HaNA_1.01.02_3270_0540	540	1078	1664	6	30	start
3270		NL-HaNA_1.01.02_3270_0544-line-1024-316-1177-150	NL-HaNA_1.01.02_3270_0544	544	1086	1664	7	1	start
