Ontfangen	O
,	O
een	O
Missive	O
vanden	O
Hoochschout	B-HOE
Groulart	I-PER
,	O
geschreven	O
tot	O
Maestricht	B-LOC
den	O
vijffden	B-DAT
deses	I-DAT
,	O
houdende	O
responsive	O
op	O
hare	O
Ho	O
:	O
Mo	O
:	O
Brieff	O
vanden	O
achtsten	B-DAT
februarij	I-DAT
lestleden	I-DAT
,	O
ende	O
dienvolgens	O
bericht	O
op	O
de	O
Requeste	O
van	O
Johanna	B-PER
van	I-PER
Han	I-PER
,	I-PER
moeder	B-HOE
van	I-HOE
het	I-HOE
Clooster	B-NAM
genaemt	I-NAM
St.	I-NAM
Annendael	I-NAM
,	I-HOE
binnen	I-HOE
Mastricht	B-LOC
voornoemt	O
,	O
houdende	O
clachten	O
,	O
dat	O
den	O
Hoochschout	B-PER
Montaigne	I-PER
vande	I-PER
Luijcksche	I-PER
iijde	I-PER
,	O
den	O
eersten	B-DAT
februarij	I-DAT
voorschreve	I-DAT
sonder	O
eenige	O
de	O
minste	O
kennisse	O
vanden	O
gemelten	O
Hoochschout	B-HOE
,	I-PER
Groulart	I-PER
,	O
haer	O
Suppliante	O
met	O
hare	O
mede	B-HOE
Suster	I-HOE
,	O
per	O
force	O
door	O
sijne	B-HOE
Dienaers	I-HOE
,	O
uijt	O
het	O
voorschreve	O
Clooster	O
hadde	O
doen	O
halen	O
,	O
ende	O
met	O
een	O
wagen	O
uijt	O
de	O
Stadt	O
voeren	O
,	O
strijdende	O
sulcx	O
tegens	O
de	O
Capitulatie	O
,	O
oock	O
alle	O
recht	O
ende	O
reden	O
,	O
ende	O
specialick	O
tegens	O
de	O
Sententie	O
vande	O
Heeren	B-HOE
hare	I-HOE
Ho	I-HOE
:	I-HOE
Mo	I-HOE
:	I-HOE
Commissarisen	I-HOE
Deciseurs	I-HOE
in	O
date	O
den	O
veerthienden	B-DAT
September	I-DAT
1660	I-DAT
:	O
ende	O
de	O
Jurudictie	O
van	O
desen	O
Staet	O
over	O
deselve	O
Stadt	O
:	O
Waerop	O
gedelibereert	O
sijnde	O
,	O
Is	O
goetgevonden	O
ende	O
verstaen	O
,	O
dat	O
de	O
voorschreve	O
Missive	O
gestelt	O
sal	O
werden	O
in	O
handen	O
vande	O
Heeren	B-PER
van	I-PER
Brakell	B-LOC
,	I-COM
ende	I-COM
andere	I-COM
hare	I-COM
Ho	I-COM
:	I-COM
Mo	I-COM
:	I-COM
Gedeputeerden	I-COM
tot	I-COM
de	I-COM
saecken	I-COM
vande	I-COM
Landen	B-LOC
van	I-LOC
Overmaze	I-LOC
,	O
om	O
te	O
visiteren	O
,	O
examineren	O
,	O
ende	O
daervan	O
rapport	O
te	O
doen	O
,	O
sonder	O
resumptie	O
.	O
