resolution_id	date	paragraph_id	text	iiif_url
session-1672-04-01-num-1-resolution-4	1672-04-01	session-1672-04-01-num-1-para-11	Ontfangen een Missive van het Collegie ter admiraliteijt tot amsterdam, geschreven aldaer den eenendertichsten Martij lest„ leden, houdende, dat het gemelte Collegie vermits de jegenwoordige ongelegentheijt met den Coningh van Groot Brittannien geerne soude verstaen haer Ho:Mo: intentie ontrent het affsenden van hetschip van Oorlogh voor desen gedestineert tot transport vanden heer van Strevels„ hoeck, haer ho:Mo: gedesigneerde resident aen het hoff van Spamen, uijt dese Landen naer Spaignen, sonderlingh alsoo het voorschreve Schip van oorlogh niet sonder pericul ende ondienst vanden Lande soo verte vande handt gesonden conde werden, ende andersints was gedesigneert onder de schepen die	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_0544.jpg/3236,-8,1830,3874/full/0/default.jpg
session-1672-04-01-num-1-resolution-4	1672-04-01	session-1672-04-01-num-1-para-12	s'lants vloote souden helpen composeren, Ende is bij die occasie oock gelesen de missive vanden voornoemden heer van Strevelshoeck, mede geschreven tot amsterdam voornoemt, den voorschreven eenendertichsten Martij laestleden t' voorschreve subject concernerende:	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_0544.jpg/3236,-8,1830,3874/full/0/default.jpg
session-1672-06-03-num-1-resolution-1	1672-06-03	session-1672-06-03-num-1-para-4	Ontfangen een Missive vande Heeren Gedeputeerden Staten van Vrieslandt ge„ schreven tot Leeuwaerden, den 9e. deser stilo loci, houdende dat deselve op de notificatie ende vragen aen haer door Præside d'Heer van Dijalvelt,	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1007.jpg/2999,1553,2028,2470/full/0/default.jpg, https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1007.jpg/2452,1899,2032,1270/full/0/default.jpg
session-1672-06-03-num-1-resolution-1	1672-06-03	session-1672-06-03-num-1-para-5	præsentibus d'Heeren van Braeckel Heuckelom, Vijgh, Schimmelpenningh, Raesfelt, Ommeren, Bosvelt, Meerens,	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1007.jpg/2452,1899,2032,1270/full/0/default.jpg
session-1672-06-03-num-1-resolution-1	1672-06-03	session-1672-06-03-num-1-para-6	Reijgersbergh, Pieterzon, Mauregnault, Vander Hoolck, Gemmenich, Bootsma, Hogers. Capiteijn Swartsenburgh, Commanderende inde Deijler schansse gedaen, rakende eenige Schepen met vivres ende munitie van Oorlogh, de wille hebbende de Dems op naer Munsterlandt aen hem hadden gerescribeert deselve aen te houden, ende versoeckende dat diergelijcke mede aen den voorsr: Swartsenburgh van wegen haer Ho:Mo: soude mogen afgaen, Waerop gedelibereert sijnde, Is goetge„ vonden, ende verstaen, mits desen te verfoecken den raet van State, dat haer E. die voorsieninge willen doen, dat alle Gouverneurs, ende Comman„ deurs van eenige plaetsen confime„ rende aen ofte naer Munsterlandt voornt, aen en ophouden alle vivres ende eetwaren, mitsgaders munitie van Oorlogh die derwaerts souden mogen werden vervoert.	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1007.jpg/2452,1899,2032,1270/full/0/default.jpg, https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1008.jpg/583,-30,2016,4043/full/0/default.jpg
session-1672-06-16-num-1-resolution-8	1672-06-16	session-1672-06-16-num-1-para-22	Is gehoort het rapport vande heeren van Brakel, ende andere hare Ho:Mo: gedeputeerden tot de militaire saken, hebbende ingevolge ende tot voldoeninge van derselver resolutie Commissoriael vanden 26en. deses, gevisiteert ende — geexamineert de requeste vande Ingesetenen van Rousel, ende Bladel, houdende dat naer de publicatie vande Vreede tusschen desen Staet, ende den Coninck van Spaigne geduijrigh questie is geweest, off deselve dorpen onder de Meijerije van s' Hertogenbosch dan ondertquartier van Antwerpen waren ge„ hoorende, dat oock den Coninck van Spaignes inden Jare 1665. ten tijde vanden Munsterschen Oorlogh bij speciale acte hadde verclaert de voors dorpen, ende de Inwai„ ders vandien altijt voor sijn onder„ danen te hebben gehouden, ende dat den Marquis van Castel Rodrigo, als Gouverneur Generael vande Spaensche Nederlanden, daer van doenmaels, ende den heere Grave van Montereij inde hoochgemelte qualiteijt alsnu daer van wederom verclaringe hebben gegeven, E nademael het om d'effecten vande voors. verclaringe te mogen ge„ nieten, ende sulcx om te ontgaen, de contributien die van wegens den Coninck van Vranckrijck vande voors dorpen werden gevordert, seer dienstigh soude wesen, dat dekercken inde voorsr twee dorpen tot den paepschen dienst geduijrende den Oorlogh tegens den hoochstged: Coninck van Vranckrijck mochten werden gebruijckt, dat sij derhalven versochten dat het selve aen haer bij haer Ho:Mo: soude mogen werden toegestaen, soo nochtans dat het selve alleen geduijrende den voorsr Oorlogh soude geschieden, ende tot geen consie„ quentie ter werelt getrocken werden, Ende dat sij Supplianten de ordinaris gemeijne lasten aenden Staet souden opbrengen: Waerop gedelibereert sijnde, Is goetgevonden ende verstaen, dat in het voors versoeck, niet en can werden getreden.	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1059.jpg/3141,-1,2040,3899/full/0/default.jpg, https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1060.jpg/762,-19,1976,3906/full/0/default.jpg
session-1672-09-16-num-1-resolution-1	1672-09-16	session-1672-09-16-num-1-para-11	Ontfangen een missive vant Collegie ter Admiraliteijt tot Rotterdam, ge„ schreven aldaer den vijffthienden deses, houdende responsive op hare Ho: Mo: Brieff ende resolutie vanden derthienden daer te vooren, daerbij henluijden geordonneert was prompte ordre te stellen, dat de Schepen van Oorlogh van Victualie ende Scheeps„ behoeften behoorlick mochten werden versien: Waerop geen resolutie en is gevallen.	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3286/NL-HaNA_1.01.02_3286_0353.jpg/3050,10,1979,3829/full/0/default.jpg
session-1672-06-08-num-1-resolution-8	1672-06-08	session-1672-06-08-num-1-para-18	Ontfangen een missive van het Collegie ter Admiraliteijt op de Maze, geschreven tot Rotterdam, den 22en. deses, houdende ingevolge, ende tot voldoeninge van haer Ho:Mo: resolutie vanden 14en. daer te vooren, derselver Consideratie ende advis, op het memoriael ten selven dage aen haer Ho:Mo: gepresenteert, door den heer Appelboom, extraor„ dinaris Envoijé vanden Coningh van Sweeden, sustineerde, dat bij 't vierde Articul vant Tractaet tusschen den Hoochstgede. Coningh van Sweeden ende haer Ho:Mo: den 16en. Julijs 1672. opgerecht onder anderen soude sijn geaccordeert, dat pick en Toor souden mogen werden vervoert, selver tot soodanige volckeren met dewelke een der Bontgenooten albereits in Oorlogh is off namaels soude mogen comen te vervallen, ende versoeckende dat het Schip de Witte duijve gaende van Stockholm naer Jannnijen allees ge„ laden met Pick ende Teer aengehaelt ende opgesonden door een Schip van Oorlogh van desen Staet met sijne ladinge kost en Schadeloos soude mogen werden ontslagen; Waerop gedeli„ bereert zijnde, Is goetgevonden & verstaen, dat de voorsr missive gestelt sal werden in handen vande Heeren van Ommeren ende andere haer Ho: Mo: Gedeputeerden tot de saken vande Zee, om te visiteren, examine„ res ende daer van rapport te doen.	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1033.jpg/3240,-19,1898,3887/full/0/default.jpg, https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1034.jpg/732,-22,1931,3890/full/0/default.jpg
session-1672-07-27-num-1-resolution-9	1672-07-27	session-1672-07-27-num-1-para-29	Is ter Vergaderinge gelesen de requeste van Albertus vander Veer, Coopman tot Amsterdam, houdende dat hij sup„ pliant geduijrende den jegenwoordigen Oorlogh tusschen de Coningen van Vranck„ rijck ende Engelant ende desen Staet seer groote schade ter Zee heeft ge„ leden, en dat hij om deselve te recouvreren versocht Commissie van retorsie Waerop gedelibereert sijnde, Is goetgevonden ende verstaen dat den Sup„ pliant hem sal moeten addresseren aen den Heer Prince van Orange, als Admirael vande Zee	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3286/NL-HaNA_1.01.02_3286_0164.jpg/927,41,1909,4000/full/0/default.jpg
session-1672-06-08-num-1-resolution-21	1672-06-08	session-1672-06-08-num-1-para-48	Is gehoort het rapport vande Heeren van Brakel, ende andere haer Ho: Mo: Gedeputeerden tot de militaire saken, hebbende ingevolge, ende tot voldoeninge van der selver resolutie Commissoriael vanden 18en. deses, gevisiteert ende geexamineert de missive vande Heeren Burgemeesteren ende regeerders der Stadt Swolle, geschre„ ven aldaer den 3en. deses, St: Loci, houdende advertentie, ende onder anderen, rakende de constitutie vande voors Stadt; Waerop gedelibereert sijnde, Is goet„ gevonden, ende verstaen, dat het Col„ legie ter Admiraliteijt in Westvries„ landt ende den Noorderquartiere sal werden aengeschreven, dat deselve twee Uijtleggers off ander bequaem gemon„ teert Vaertuijgh willen leggen op het Swarte water, een voorde Stadt Swolle, ende een voorde Stadt Campen, ende aen haer Ho:Mo: sullen rescriberen, wat bij haer hierinne verricht sal wesen,	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1038.jpg/215,2,2435,3866/full/0/default.jpg, https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1038.jpg/3207,-8,1990,3891/full/0/default.jpg
session-1672-06-08-num-1-resolution-21	1672-06-08	session-1672-06-08-num-1-para-49	De Heeren Ripperda tot Buirse, Schade, Arnout van Vierssen, Coeverden ende Gockinga, haer Ho:Mo: Gede„ puteerden ende Gevolmachtichden alhier inden Hage gecomen zijnde, ingevolge van haer Ho:Mo: resole vanden 19en. deses, hebben aen haer Ho:Mo: sommier rapport gedaen, vant geen bij deselve ingevolge vande voor se hare Commissie tot nogh toe is verricht: Waerop gedelibereert zijnde, hebben haer Ho:Mo: de geme. Heeren derselver Gedeputeerden ende Gevolmachtichden te Velde voor het gedane rapport bedanckt; Ende is voorts goetgevonden ende ver„ staen, mits desen te versoecken, dat de geme. heeren haer Ho:Mo: Gedepu„ teerden en Gevolmachtichden te Velde de poincten van deliberatie daer uijt resulterende, in geschrifte willen stellen, ende haer wederom begeven na het Leger, om derselver Commissie voorts te volvoeren ende voltrecken,	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1038.jpg/3207,-8,1990,3891/full/0/default.jpg
session-1672-06-08-num-1-resolution-21	1672-06-08	session-1672-06-08-num-1-para-50	De Heeren Gedeputeerden vande pro„ vincie van Hollandt hebben ter Verga„ eringe bekent gemaeckt, dat de heeren Staten vande hoochgeme. Provincie voor haer provinciael advis souden oordeelen dat de placaten geemaneert op de fran„ sche Brandewijnen ende manufacturen, mitsgaders op de fransche Coelewijnen, Asijnen, Canefassen, ende papieren ten regarde vande consumptie, vermits den jegenwoordigen droevigen Oorlogh, ver„ bok van Schipvaert, ende andere gele„ gentheijt niet langer gepractiseert connen werden werden, ende hebben vervolgens aen haer Ho:Mo: in bedencken gegeven, off met deselve placaten staende desen Oorlogh ten aensien vande voors con„ sumptie buijten executie gehouden souden behooren te werden, blijvende die niet te min nopende den invoer van deselve waren in haer geheel: Waerop - gedelibereert sijnde, Is goetgevonden ende verstaen, dat de voors placaten geduijrende den Oorlogh met den Coningh van Vranckrijck, ten reguarde vande voors. consumptie buijten executie gehouden sullen werden, blijvende die niette min ten regarde vanden invoer van buijten in allen delen in haer geheel	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1038.jpg/3207,-8,1990,3891/full/0/default.jpg, https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3285/NL-HaNA_1.01.02_3285_1039.jpg/709,-15,1927,3823/full/0/default.jpg
session-1672-07-16-num-1-resolution-15	1672-07-16	session-1672-07-16-num-1-para-51	Ontfangen een missive van het Collegie ter Admiraliteijt tot Amsterdam, geschreven aldaer den 17en. deses, houdende adver„ tentie, ende onder anderen rakende eenige Schepen van Oorlogh, bij haer gereet gemaeckt, mitsgaders het Bootsvolck bij haer geworden, om op s'Lants Vloote versonden te werden: Waerop gedelibereert sijnde, Is goetgevon„ den ende verstaen, dat de voorschreve missive gestelt sal werden in handen vande heeren van Ommeren, ende andere hare Ho:Mo: Gedeputeerden tot de saecken vande Zee, om te visiteren, examineren, ende daer van rapport te doen.	https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3286/NL-HaNA_1.01.02_3286_0105.jpg/761,-17,1941,4010/full/0/default.jpg, https://images.diginfra.net/iiif/NL-HaNA_1.01.02/3286/NL-HaNA_1.01.02_3286_0105.jpg/3390,0,1910,4006/full/0/default.jpg
