year	sessie	welkom	creditif
1705	16	21	3
1706	17	20	6
1707	22	21	11
1708	16	17	8
1709	22	21	20
1710	22	23	16
1711	20	23	9
1712	17	19	14
1713	23	24	16
1714	30	36	2
1715	17	16	5
1716	18	18	12
1717	12	19	10
1718	1	25	5
1719	0	14	9
1720	6	23	10
1721	15	17	11
1722	16	19	3
1723	22	23	3
1724	17	18	4
1725	20	20	12
1726	15	17	4
1727	14	21	9
1728	18	19	7
1729	23	23	8
1730	15	16	11
1731	22	22	1
1732	19	21	8
1733	21	21	7
1734	23	27	5
1735	12	16	5
1736	13	19	1
1737	27	29	0
1738	12	22	5
1739	14	19	2
1740	18	21	1
1741	32	38	8
1742	21	23	2
1743	19	30	7
1744	20	27	16
1745	20	21	9
1746	29	35	6
1747	69	80	28
1748	50	57	26
1749	31	38	8
1750	29	32	4
1751	34	40	11
1752	39	44	17
1753	25	34	5
1754	22	26	10
1755	21	28	8
1756	24	29	0
1757	28	31	1
1758	23	26	1
1759	43	49	1
1760	43	52	2
1761	28	28	34
1762	39	43	41
1763	40	46	37
1764	40	44	36
1765	51	68	60
1766	60	70	63
1767	31	36	28
1768	22	30	24
1769	18	24	29
1770	24	32	19
1771	15	19	22
1772	33	42	35
1773	14	18	16
1774	17	25	25
1775	22	28	22
1776	25	30	22
1777	14	24	23
1778	17	25	19
1779	20	30	27
1780	25	28	26
1781	19	26	19
1782	19	28	28
1783	25	35	14
1784	20	31	0
1785	17	19	0
1786	34	49	0
1787	29	36	0
1788	24	42	0
1789	21	34	0
1790	19	24	0
1791	19	30	0
1792	18	31	0
1793	16	23	3
1794	14	23	1
1795	69	97	0
